Season,FG,FGA,AST,FG_percent
2022~23,103260,217219,62279,0.475
2021~22,99930,216722,60636,0.461
2018~19,101062,219458,60483,0.461
2017~18,97435,211709,57163,0.46
2016~17,96061,210115,55660,0.457
2015~16,94065,208049,54832,0.452
2014~15,92287,205570,54202,0.449
2013~14,92779,204172,54131,0.454
2012~13,91282,201609,54415,0.453
2010~11,91624,199790,52887,0.459
2009~10,92730,200989,52258,0.461
2008~09,91310,199054,51605,0.459
2007~08,91669,200501,53506,0.457
2006~07,89860,196073,52365,0.458
2005~06,88166,194315,50711,0.454
2004~05,88435,197626,52342,0.447
